thread,i,time
Total items produced = 8192 and Total items consumed = 8192
1,1,0:00.14
Total items produced = 8192 and Total items consumed = 8192
1,2,0:00.14
Total items produced = 8192 and Total items consumed = 8192
1,3,0:00.14
Total items produced = 8192 and Total items consumed = 8192
1,4,0:00.14
Total items produced = 8192 and Total items consumed = 8192
1,5,0:00.17
Total items produced = 8192 and Total items consumed = 8192
2,1,0:00.10
Total items produced = 8192 and Total items consumed = 8192
2,2,0:00.08
Total items produced = 8192 and Total items consumed = 8192
2,3,0:00.08
Total items produced = 8192 and Total items consumed = 8192
2,4,0:00.07
Total items produced = 8192 and Total items consumed = 8192
2,5,0:00.10
Total items produced = 8192 and Total items consumed = 8192
4,1,0:00.09
Total items produced = 8192 and Total items consumed = 8192
4,2,0:00.11
Total items produced = 8192 and Total items consumed = 8192
4,3,0:00.10
Total items produced = 8192 and Total items consumed = 8192
4,4,0:00.09
Total items produced = 8192 and Total items consumed = 8192
4,5,0:00.10
Total items produced = 8192 and Total items consumed = 8192
8,1,0:00.11
Total items produced = 8192 and Total items consumed = 8192
8,2,0:00.11
Total items produced = 8192 and Total items consumed = 8192
8,3,0:00.10
Total items produced = 8192 and Total items consumed = 8192
8,4,0:00.10
Total items produced = 8192 and Total items consumed = 8192
8,5,0:00.10
Command terminated by signal 2
16,1,0:57.63
Command terminated by signal 2
16,2,0:06.26
